Seoul	Pyongyang:193, Montevideo:19591
Singapore	Kuala Lumpur:315, Quito:19715
Skopje	Pristina:77, Wellington:17795
Sofia	Skopje:174, Wellington:17649
Sri Jayawardenepura Kotte	Dhaka:2182, Quito:17495
Stockholm	Tallinn:377, Wellington:17431
Suva	Nukuʻalofa:743, Ouagadougou:19358
São Tomé	Libreville:302, Funafuti:18768
Taipei	Manila:1164, Asunción:19912
Tallinn	Helsinki:82, Wellington:17117
Tarawa	Majuro:663, Yamoussoukro:19076
Tashkent	Dushanbe:309, Santiago:16391
Tbilisi	Yerevan:172, Wellington:15900
Tegucigalpa	San Salvador:217, Jakarta:18234
Thimphu	Dhaka:418, Santiago:18005
Tokyo	Seoul:1152, Montevideo:18560
Tripoli	Valletta:354, Nukuʻalofa:18455
Tunis	Valletta:400, Wellington:18584
Ulaanbaatar	Beijing:1166, Santiago:18381
Vaduz	Bern:158, Wellington:18662
Valletta	Tripoli:354, Wellington:18190
Vatican City	Rome:4, Wellington:18533
Vienna	Bratislava:55, Wellington:18140
Vientiane	Hanoi:481, Lima:19342
Vilnius	Minsk:171, Wellington:17321
Warsaw	Vilnius:392, Wellington:17682
Washington, D.C.	Ottawa:732, Jakarta:16347
Wellington	Canberra:2324, Madrid:19839
Windhoek	Gaborone:928, Majuro:16758
Yamoussoukro	Accra:578, Funafuti:19472
Yaounde	Malabo:303, Apia:18837
Yaren District	Tarawa:707, Monrovia:19312
Yerevan	Tbilisi:172, Wellington:15870
Zagreb	Ljubljana:117, Wellington:18227
